time,acco2
1950,310.74999999964
1951,311.5153471287248
1952,312.27826092057
1953,313.0453478725157
1954,313.82130643723053
1955,314.6097510485774
1956,315.4137274161242
1957,316.2360441856997
1958,317.0794977792314
1959,317.94703818885984
1960,318.83961579138924
1961,319.7568160116238
1962,320.7004730058669
1963,321.6724791874039
1964,322.6748135374448
1965,323.7095639316114
1966,324.77894637104106
1967,325.8853229340267
1968,327.0312196207867
1969,328.2193448822623
1970,329.4231065743443
1971,330.64089265979044
1972,331.87468258644174
1973,333.126211571516
1974,334.3970851683353
1975,335.68885047275575
1976,337.00304110967807
1977,338.3412064034927
1978,339.7049310508514
1979,341.09584913669227
1980,342.4635932901356
1981,343.82721376521005
1982,345.18956264785885
1983,346.5533071532387
1984,347.9210438555975
1985,349.2953741547498
1986,350.67895674181824
1987,352.0745466857052
1988,353.4850270431645
1989,354.91343664685076
1990,356.4323576613103
1991,357.94261499794663
1992,359.45063551575976
1993,360.9618831471508
1994,362.4812341808267
1995,364.01054092311796
1996,365.5912219434672
1997,367.2465499639971
1998,368.96486755102353
1999,370.6990484562561
2000,372.4745866223776
2001,374.334861161451
2002,376.21635915541617
2003,378.11900705724196
2004,380.04202312001325
2005,381.98412854562093
2006,383.9437417953905
2007,385.9190352086688
2008,387.9080269266202
2009,389.90855438409056
2010,391.91839313577896
2011,393.9409109957319
2012,395.99754881437656
2013,398.0889882507568
2014,400.2161701992819
2015,402.38022568877415
2016,404.5823599835086
2017,406.8238761635424
2018,409.10611134524737
2019,411.43042772932614
2020,413.7982430919687
2021,416.2110135997131
2022,418.67047348669604
2023,421.178367237534
2024,423.73648191745974
2025,426.34662952797595
2026,429.0080674153062
2027,431.72118604498644
2028,434.4864341722471
2029,437.304214593463
2030,440.1749484286068
2031,443.0985598996861
2032,446.07573641870033
2033,449.10716539552226
2034,452.19348441823104
2035,455.3353668274255
2036,458.5334367961659
2037,461.7882842028274
2038,465.10052307632293
2039,468.4707209011174
2040,471.89948225253806
2041,475.3873371379516
2042,478.93425160253133
2043,482.5402255191924
2044,486.20522061469984
2045,489.9292036514883
2046,493.71209556730236
2047,497.5538093732653
2048,501.4542560159005
2049,505.4132819597329
2050,509.4307471400254
2051,513.5038467672318
2052,517.6339457542365
2053,521.8222987113902
2054,526.0701202739543
2055,530.378588360089
2056,534.7489207008618
2057,539.1823103031492
2058,543.679948551929
2059,548.2430238425565
2060,552.8727541402426
2061,557.57038190744
2062,562.3371313171709
2063,567.1742485347801
2064,572.0829826912193
2065,577.0646050392596
2066,582.1204424022169
2067,587.2518358682157
2068,592.460147543581
2069,597.7467751071656
2070,603.1131272535262
2071,608.560677041233
2072,614.0902665769855
2073,619.7027558557047
2074,625.3990008410641
2075,631.1798865268936
2076,637.0463229232901
2077,642.9968268605777
2078,649.0299234514339
2079,655.1441455145012
2080,661.3379817311022
2081,667.6099036609096
2082,673.958685525499
2083,680.3830585906239
2084,686.8816826612784
2085,693.4531946215066
2086,700.0961536654256
2087,706.8090894058033
2088,713.5904595439793
2089,720.4386623680255
2090,727.3520306833825
2091,734.3288547459459
2092,741.3675334652136
2093,748.4664073914707
2094,755.6237533732345
2095,762.8378126855176
2096,770.1067749361074
2097,777.4288044248605
2098,784.8020250821029
2099,792.2245053812625
2100,799.6942768317002
2101,807.2155760079451
2102,814.7817319685882
2103,822.3862661492237
2104,830.0228240103402
2105,837.6851025257088
2106,845.3641700541956
2107,853.0506330399038
2108,860.7385563167068
2109,868.4219369159857
2110,876.0947371436878
2111,883.7509106542171
2112,891.3846072853681
2113,898.9899937251789
2114,906.5612680982739
2115,914.0926737923015
2116,921.5785110048178
2117,929.0131477850404
2118,936.3910296806383
2119,943.7066901651832
2120,950.9547595603048
2121,958.1299743270025
2122,965.2272225998954
2123,972.2415139361914
2124,979.167988783705
2125,986.0019261296906
2126,992.7387517738424
2127,999.3740455954633
2128,1005.9035489725494
2129,1012.3231712648274
2130,1018.6289959236909
2131,1024.8172865513318
2132,1030.88449175189
2133,1036.8272499992981
2134,1042.642394314282
2135,1048.3269556696812
2136,1053.878166736691
2137,1059.2934648859466
2138,1064.570494021474
2139,1069.7071063465442
2140,1074.701363275086
2141,1079.551536789157
2142,1084.2561098505596
2143,1088.8137753356666
2144,1093.2234356477613
2145,1097.4842014207893
2146,1101.5953892053308
2147,1105.556519997152
2148,1109.3673149311107
2149,1113.0276932168351
2150,1116.5377685837952
2151,1119.8978451605055
2152,1123.1095644202828
2153,1126.1746051967937
2154,1129.0947016738844
2155,1131.8716529055255
2156,1134.5073274272893
2157,1137.0036638688414
2158,1139.3626705765098
2159,1141.5864237392293
2160,1143.6770635999828
2161,1145.6367925066
2162,1147.4678706584448
2163,1149.1726123031715
2164,1150.7533819846146
2165,1152.2125904772895
2166,1153.5526904107046
2167,1154.7761725755117
2168,1155.8855614145655
2169,1156.883411260625
2170,1157.7723020936523
2171,1158.5548355185842
2172,1159.2336303655388
2173,1159.8113199170373
2174,1160.2905472222906
2175,1160.673961575859
2176,1160.964214466626
2177,1161.16395639375
2178,1161.2758332164196
2179,1161.302482771191
2180,1161.246531761719
2181,1161.1105925143663
2182,1160.8972601482046
2183,1160.6091092430443
2184,1160.2486915427073
2185,1159.818532969987
2186,1159.3211308224743
2187,1158.7589520436043
2188,1158.134430569216
2189,1157.4499655652762
2190,1156.7079193209522
2191,1155.9106154312512
2192,1155.0603372957394
2193,1154.1593258973908
2194,1153.2097791261237
2195,1152.2138501683328
2196,1151.1736466602115
2197,1150.0912292997532
2198,1148.9686112130416
2199,1147.807756842305
2200,1146.6105817875355
